mouse_id,column,volume,alt,azi
409828,1,1,-12.4,-8.9
409828,1,2,-12.4,-8.9
409828,1,3,-12.4,-8.9
409828,1,4,-12.4,-8.9
409828,1,5,-12.4,-8.9
409828,2,1,-10.0,-19.6
409828,2,2,-10.0,-19.8
409828,2,3,-10.0,-19.6
409828,2,4,-10.0,-19.6
409828,2,5,-10.0,-19.6
409828,3,1,-9.7,1.8
409828,3,2,-9.7,1.8
409828,3,3,-9.7,1.8
409828,3,4,-9.7,1.8
409828,3,5,-9.7,1.8
409828,4,1,-16.4,-15.4
409828,4,2,-16.4,-15.4
409828,4,3,-16.4,-15.4
409828,4,4,-16.4,-15.4
409828,4,5,-16.4,-15.4
409828,5,1,-14.4,9.9
409828,5,2,-14.4,9.9
409828,5,3,-14.4,9.9
409828,5,4,-14.4,9.9
409828,5,5,-14.4,9.9
416296,1,1,9.3,-10.0
416296,1,2,9.3,-10.0
416296,1,3,9.3,-10.0
416296,1,4,9.3,-10.0
416296,1,5,9.3,-10.0
416296,2,1,13.1,-18.5
416296,2,2,13.1,-18.5
416296,2,3,13.1,-18.5
416296,2,4,13.1,-18.5
416296,2,5,13.1,-18.5
416296,3,1,15.7,-0.9
416296,3,2,15.7,-0.9
416296,3,3,15.7,-0.9
416296,3,4,15.7,-0.9
416296,3,5,15.7,-0.9
416296,4,1,7.0,-18.3
416296,4,2,7.0,-18.3
416296,4,3,7.0,-18.3
416296,4,4,7.0,-18.3
416296,4,5,7.0,-18.3
416296,5,1,6.7,1.0
416296,5,2,6.7,1.0
416296,5,3,6.7,1.0
416296,5,4,6.7,1.0
416296,5,5,6.7,1.0
427836,1,1,-1.6,-8.6
427836,1,2,-1.6,-8.6
427836,1,3,-1.6,-8.6
427836,1,4,-1.6,-8.6
427836,1,5,-1.6,-8.6
427836,2,1,1.8,-18.1
427836,2,2,1.8,-18.1
427836,2,3,1.8,-18.1
427836,2,4,1.8,-18.1
427836,2,5,1.8,-18.1
427836,3,1,4.3,-2.9
427836,3,2,4.3,-2.9
427836,3,3,4.3,-2.9
427836,3,4,4.3,-2.9
427836,3,5,4.3,-2.9
427836,4,1,-6.3,-17.9
427836,4,2,-6.3,-17.9
427836,4,3,-6.3,-17.9
427836,4,4,-6.3,-17.9
427836,4,5,-6.3,-17.9
427836,5,1,-6.0,0.0
427836,5,2,-6.0,0.0
427836,5,3,-6.0,0.0
427836,5,4,-6.0,0.0
427836,5,5,-6.0,0.0
438833,1,1,-4.9,-3.9
438833,1,2,-4.9,-3.9
438833,1,3,-4.9,-3.9
438833,1,4,-4.9,-3.9
438833,1,5,-4.9,-3.9
438833,2,1,-1.0,-14.5
438833,2,2,-1.0,-14.5
438833,2,3,-1.0,-14.5
438833,2,4,-1.0,-14.5
438833,2,5,-1.0,-14.5
438833,3,1,2.8,3.2
438833,3,2,2.8,3.2
438833,3,3,2.8,3.2
438833,3,4,2.8,3.2
438833,3,5,2.8,3.2
438833,4,1,-9.7,-10.0
438833,4,2,-9.7,-10.0
438833,4,3,-9.7,-10.0
438833,4,4,-9.7,-10.0
438833,4,5,-9.7,-10.0
438833,5,1,-5.9,12.9
438833,5,2,-5.9,12.9
438833,5,3,-5.9,12.9
438833,5,4,-5.9,12.9
438833,5,5,-5.9,12.9
