mID,exp_date,exp_time,col,vol,file_path
409828,2018-11-06,14-02-59,2,1,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-11-06_14-02-59_processed_2025-08-08_16-27-52
409828,2018-11-20,10-42-45,3,1,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-11-20_10-42-45_processed_2025-08-08_16-27-52
409828,2018-11-20,12-12-08,3,2,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-11-20_12-12-08_processed_2025-08-08_16-27-52
409828,2018-11-21,09-22-23,4,1,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-11-21_09-22-23_processed_2025-08-08_16-27-52
409828,2018-11-21,10-56-07,4,2,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-11-21_10-56-07_processed_2025-08-08_16-27-52
409828,2018-11-26,11-16-25,5,1,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-11-26_11-16-25_processed_2025-08-08_16-27-53
409828,2018-11-27,11-01-58,2,2,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-11-27_11-01-58_processed_2025-08-08_16-27-52
409828,2018-11-27,12-29-05,2,3,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-11-27_12-29-05_processed_2025-08-08_16-27-52
409828,2018-11-28,10-54-56,3,3,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-11-28_10-54-56_processed_2025-08-08_16-27-52
409828,2018-11-29,13-42-04,5,2,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-11-29_13-42-04_processed_2025-08-08_16-27-53
409828,2018-12-03,14-25-24,4,3,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-03_14-25-24_processed_2025-08-08_16-27-53
409828,2018-12-03,15-56-23,4,4,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-03_15-56-23_processed_2025-08-08_16-27-53
409828,2018-12-04,15-27-53,5,3,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-04_15-27-53_processed_2025-08-08_16-27-53
409828,2018-12-05,14-40-32,2,4,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-05_14-40-32_processed_2025-08-08_16-27-52
409828,2018-12-07,15-05-38,2,5,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-07_15-05-38_processed_2025-08-08_16-27-52
409828,2018-12-10,14-02-21,3,4,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-10_14-02-21_processed_2025-08-08_16-27-52
409828,2018-12-10,15-28-55,3,5,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-10_15-28-55_processed_2025-08-08_16-27-52
409828,2018-12-11,14-40-36,4,5,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-11_14-40-36_processed_2025-08-08_16-27-53
409828,2018-12-11,16-12-21,5,4,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-11_16-12-21_processed_2025-08-08_16-27-53
409828,2018-12-12,10-53-44,5,5,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-12_10-53-44_processed_2025-08-08_16-27-53
409828,2018-12-12,12-24-18,1,1,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-12_12-24-18_processed_2025-08-08_16-27-52
409828,2018-12-13,13-21-39,1,2,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-13_13-21-39_processed_2025-08-08_16-27-52
409828,2018-12-13,15-10-05,1,3,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-13_15-10-05_processed_2025-08-08_16-27-52
409828,2018-12-14,13-14-42,1,4,/allen/programs/mindscope/workgroups/surround/v1dd_in_vivo_new_segmentation/ready_for_upload/409828_2018-12-14_13-14-42_processed_2025-08-08_16-27-52
